"MatchType","Ctype","Desc","CrimeCat"
"d"," ","TRESPASS_OCCUPY_PROPERTY_W_O_CONSENT","QUALITY_CURFEW-LOITERING"
"d"," ","DISTURB_THE_PEACE","QUALITY_DISORDERLY-CONDUCT"
"d"," ","DISTURBING_THE_PEACE","QUALITY_DISORDERLY-CONDUCT"
"c","DISORDERLY_CONDUCT",,"QUALITY_DISORDERLY-CONDUCT"
"c","NARCOTICS",,"QUALITY_DRUG"
"c","DRUGS_ALCOHOL_VIOLATIONS",,"QUALITY_DRUG"
"d",,"IT_IS_UNLAWFUL_TO_POSSESS_AN_OPIUM_PIPE_OR_ANY_DEVICE__CONTRIVANCE__INSTRUMENT__OR_PARAPHERNALIA_USED_FOR_UNLAWFULLY_INJECTING_OR_SMOKING_","QUALITY_DRUG_POSSESSION"
"d",,"11364_1_A___UNLAWFUL_TO_POSSESS_AN_OPIUM_PIPE_OR_ANY_DEVICE_OR_OTHER_PARAPHERNALIA_USED_FOR_INJECTING_OR_SMOKING_A_CONTROLLED_SUBSTANCE","QUALITY_DRUG_POSSESSION"
"d",,"POSS_CONTROLLED_SUBSTANCE_WHILE_ARMED_W_LOADED_FIREARM","QUALITY_DRUG_POSSESSION"
"d",,"POSSESS_CONTROLLED_SUBSTANCE","QUALITY_DRUG_POSSESSION"
"d",,"POSSESS_CONTROLLED_SUBSTANCE_PARAPHERNALIA","QUALITY_DRUG_POSSESSION"
"d",,"POSSESS_CONTROLLED_SUBSTANCES_WITHOUT_A_PRESCRIPTION","QUALITY_DRUG_POSSESSION"
"d",,"POSSESS_HYPODERMIC_NEEDLE_SYRINGE","QUALITY_DRUG_POSSESSION"
"d",,"POSSESS_HYPODERMIC_NEEDLE_SYRINGE__REPEALED_","QUALITY_DRUG_POSSESSION"
"d",,"POSSESS_METHAQUALONE_ETC","QUALITY_DRUG_POSSESSION"
"d"," ","POSSESS_NARCOTIC_CONTROLLED_SUBSTANCE","QUALITY_DRUG_POSSESSION"
"d"," ","SIMPLE_POSSESSION_OF_HEROIN__COCAINE__LISTED_CONTROLLED_SUBSTANCES","QUALITY_DRUG_POSSESSION"
"d",,"GIVE_TRANSPORT_MARIJUANA_HASHISH_UNDER_1_OZ","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"PLANT_CULTIVATE_ETC_MARIJUANA_HASHISH","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"PLANT_CULTIVATE_ETC_MARIJUANA_HASHISH","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_CONCENTRATED_CANNABIS","QUALITY_DRUG_POSSESSION_MARIJUANA"
"d",,"POSSESS_MARIJUANA_28_5_GRAMS_OR_LESS_OR_W_PRIOR","QUALITY_DRUG_POSSESSION_MARIJUANA"
